FECHA;HORA;NOMBRE SERVICIO;MENSAJE ERROR;EMAIL SOPORTE
09/07/2017;09:34;Servcio1.exe;Out of memory;juan@soporte.com.ar
09/07/2017;09:34;Servcio2.exe;Out of memory;maria@soporte.com.ar
09/07/2017;09:34;Servcio3.exe;Out of memory;jose@soporte.com.ar
09/07/2017;09:34;Servcio4.exe;Out of memory;pedro@soporte.com.ar
09/07/2017;09:34;Servcio5.exe;Out of memory;ana@soporte.com.ar
09/07/2017;09:34;Servcio6.exe;Out of memory;daniel@soporte.com.ar
09/07/2017;09:34;Servcio7.exe;Out of memory;hugo@soporte.com.ar
09/07/2017;09:34;Servcio8.exe;Out of memory;lea@soporte.com.ar
09/07/2017;09:34;Servcio9.exe;Out of memory;carla@soporte.com.ar
09/07/2017;09:34;Servcio10.exe;Out of memory;carlos@soporte.com.ar
09/07/2017;09:34;Servcio11.exe;Out of memory;marcos@soporte.com.ar
09/07/2017;09:34;Servcio12.exe;Out of memory;mateo@soporte.com.ar
09/07/2017;09:34;Servcio13.exe;Out of memory;zoe@soporte.com.ar
09/07/2017;09:34;Servcio14.exe;Out of memory;sandro@soporte.com.ar
09/07/2017;09:34;Servcio15.exe;Out of memory;danilo@soporte.com.ar
09/07/2017;09:34;Servcio16.exe;Out of memory;nestor@soporte.com.ar
09/07/2017;09:34;Servcio17.exe;Out of memory;diego@soporte.com.ar
09/07/2017;09:34;Servcio18.exe;Out of memory;omar@soporte.com.ar
09/07/2017;09:35;Servcio1.exe;Error0;juan@soporte.com.ar
09/07/2017;09:35;Servcio2.exe;Error0;maria@soporte.com.ar
09/07/2017;09:35;Servcio3.exe;Error0;jose@soporte.com.ar
09/07/2017;09:35;Servcio4.exe;Error0;pedro@soporte.com.ar
09/07/2017;09:35;Servcio5.exe;Error0;ana@soporte.com.ar
09/07/2017;09:35;Servcio6.exe;Error0;daniel@soporte.com.ar
09/07/2017;09:35;Servcio7.exe;Error0;hugo@soporte.com.ar
09/07/2017;09:35;Servcio8.exe;Error0;lea@soporte.com.ar
09/07/2017;09:35;Servcio9.exe;Error0;carla@soporte.com.ar
09/07/2017;09:35;Servcio10.exe;Error0;carlos@soporte.com.ar
09/07/2017;09:35;Servcio11.exe;Error0;marcos@soporte.com.ar
09/07/2017;09:35;Servcio12.exe;Error0;mateo@soporte.com.ar
09/07/2017;09:35;Servcio13.exe;Error0;zoe@soporte.com.ar
09/07/2017;09:35;Servcio14.exe;Error0;sandro@soporte.com.ar
09/07/2017;09:35;Servcio15.exe;Error0;danilo@soporte.com.ar
09/07/2017;09:35;Servcio16.exe;Error0;nestor@soporte.com.ar
09/07/2017;09:35;Servcio17.exe;Error0;diego@soporte.com.ar
09/07/2017;09:35;Servcio18.exe;Error0;omar@soporte.com.ar
09/07/2017;09:44;Servcio1.exe;Error9;juan@soporte.com.ar
09/07/2017;09:44;Servcio2.exe;Error9;maria@soporte.com.ar
09/07/2017;09:44;Servcio3.exe;Error9;jose@soporte.com.ar
09/07/2017;09:44;Servcio4.exe;Error9;pedro@soporte.com.ar
09/07/2017;09:44;Servcio5.exe;Error9;ana@soporte.com.ar
09/07/2017;09:44;Servcio6.exe;Error9;daniel@soporte.com.ar
09/07/2017;09:44;Servcio7.exe;Error9;hugo@soporte.com.ar
09/07/2017;09:44;Servcio8.exe;Error9;lea@soporte.com.ar
09/07/2017;09:44;Servcio9.exe;Error9;carla@soporte.com.ar
09/07/2017;09:44;Servcio10.exe;Error9;carlos@soporte.com.ar
09/07/2017;09:44;Servcio11.exe;Error9;marcos@soporte.com.ar
09/07/2017;09:44;Servcio12.exe;Error9;mateo@soporte.com.ar
09/07/2017;09:44;Servcio13.exe;Error9;zoe@soporte.com.ar
09/07/2017;09:44;Servcio14.exe;Error9;sandro@soporte.com.ar
09/07/2017;09:44;Servcio15.exe;Error9;danilo@soporte.com.ar
09/07/2017;09:44;Servcio16.exe;Error9;nestor@soporte.com.ar
09/07/2017;09:44;Servcio17.exe;Error9;diego@soporte.com.ar
09/07/2017;09:44;Servcio18.exe;Error9;omar@soporte.com.ar
09/07/2017;09:45;Servcio1.exe;Error10;juan@soporte.com.ar
09/07/2017;09:45;Servcio2.exe;Error10;maria@soporte.com.ar
09/07/2017;09:45;Servcio3.exe;Error10;jose@soporte.com.ar
09/07/2017;09:45;Servcio4.exe;Error10;pedro@soporte.com.ar
09/07/2017;09:45;Servcio5.exe;Error10;ana@soporte.com.ar
09/07/2017;09:45;Servcio6.exe;Error10;daniel@soporte.com.ar
09/07/2017;09:45;Servcio7.exe;Error10;hugo@soporte.com.ar
09/07/2017;09:45;Servcio8.exe;Error10;lea@soporte.com.ar
09/07/2017;09:45;Servcio9.exe;Error10;carla@soporte.com.ar
09/07/2017;09:45;Servcio10.exe;Error10;carlos@soporte.com.ar
09/07/2017;09:45;Servcio11.exe;Error10;marcos@soporte.com.ar
09/07/2017;09:45;Servcio12.exe;Error10;mateo@soporte.com.ar
09/07/2017;09:45;Servcio13.exe;Error10;zoe@soporte.com.ar
09/07/2017;09:45;Servcio14.exe;Error10;sandro@soporte.com.ar
09/07/2017;09:45;Servcio15.exe;Error10;danilo@soporte.com.ar
09/07/2017;09:45;Servcio16.exe;Error10;nestor@soporte.com.ar
09/07/2017;09:45;Servcio17.exe;Error10;diego@soporte.com.ar
09/07/2017;09:45;Servcio18.exe;Error10;omar@soporte.com.ar
09/07/2017;09:50;Servcio1.exe;Error15;juan@soporte.com.ar
09/07/2017;09:50;Servcio2.exe;Error15;maria@soporte.com.ar
09/07/2017;09:50;Servcio3.exe;Error15;jose@soporte.com.ar
09/07/2017;09:50;Servcio4.exe;Error15;pedro@soporte.com.ar
09/07/2017;09:50;Servcio5.exe;Error15;ana@soporte.com.ar
09/07/2017;09:50;Servcio6.exe;Error15;daniel@soporte.com.ar
09/07/2017;09:50;Servcio7.exe;Error15;hugo@soporte.com.ar
09/07/2017;09:50;Servcio8.exe;Error15;lea@soporte.com.ar
09/07/2017;09:50;Servcio9.exe;Error15;carla@soporte.com.ar
09/07/2017;09:50;Servcio10.exe;Error15;carlos@soporte.com.ar
09/07/2017;09:50;Servcio11.exe;Error15;marcos@soporte.com.ar
09/07/2017;09:50;Servcio12.exe;Error15;mateo@soporte.com.ar
